                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.80384,                0.49929,                 1.1706,                0.93055,                0.86888,                 0.9325,                0.70038,                0.95852,                0.48042,                 1.3215,             0.00067224,             0.00067224,             0.00067224
                     60,                0.78686,                   0.49,                 1.1597,                 0.9349,                0.84961,                 0.9335,                0.70145,                0.95343,                0.47326,                 1.3241,             0.00064894,             0.00064894,             0.00064894
                     61,                0.77967,                0.48087,                 1.1564,                0.91802,                0.87713,                0.93612,                0.70343,                0.94961,                 0.4755,                 1.3196,             0.00062565,             0.00062565,             0.00062565
                     62,                0.78557,                0.48198,                 1.1616,                0.91434,                0.88282,                0.93411,                0.70516,                0.94972,                0.47303,                 1.3257,             0.00060235,             0.00060235,             0.00060235
                     63,                0.78417,                0.47223,                 1.1533,                0.91233,                0.88788,                0.93299,                 0.7002,                0.96414,                0.47401,                 1.3388,             0.00057906,             0.00057906,             0.00057906
                     64,                0.76982,                0.46555,                 1.1493,                0.92474,                0.88168,                0.93728,                0.70645,                0.94653,                0.45588,                 1.3258,             0.00055576,             0.00055576,             0.00055576
                     65,                0.76215,                0.46612,                 1.1459,                0.89308,                0.89761,                0.92999,                0.69984,                0.94458,                 0.4798,                  1.316,             0.00053247,             0.00053247,             0.00053247
                     66,                  0.749,                0.46065,                 1.1369,                0.90158,                0.87713,                0.92915,                0.70223,                0.93797,                0.48135,                  1.318,             0.00050918,             0.00050918,             0.00050918
                     67,                0.75105,                0.46044,                 1.1408,                0.92007,                0.87258,                 0.9302,                0.70155,                0.94851,                0.46393,                 1.3373,             0.00048588,             0.00048588,             0.00048588
                     68,                0.74763,                0.45728,                 1.1387,                0.90056,                0.89306,                0.93037,                0.70136,                0.94682,                0.46571,                 1.3297,             0.00046259,             0.00046259,             0.00046259
                     69,                0.74314,                0.45307,                 1.1364,                0.91944,                0.87258,                0.93089,                0.70257,                0.95046,                0.46436,                 1.3342,             0.00043929,             0.00043929,             0.00043929
                     70,                0.73178,                0.44788,                 1.1311,                0.91836,                0.88965,                0.93346,                0.70451,                0.94309,                0.46216,                  1.325,               0.000416,               0.000416,               0.000416
                     71,                0.71878,                0.43062,                 1.1174,                0.93923,                0.86234,                0.93255,                0.70303,                 0.9464,                0.45375,                  1.326,             0.00039271,             0.00039271,             0.00039271
                     72,                0.71379,                0.43197,                  1.117,                0.89789,                0.89306,                0.92911,                0.70086,                0.94762,                0.46219,                 1.3323,             0.00036941,             0.00036941,             0.00036941
                     73,                0.70388,                 0.4322,                 1.1115,                0.92818,                0.86745,                0.93339,                0.70529,                0.95063,                0.45799,                 1.3328,             0.00034612,             0.00034612,             0.00034612
                     74,                0.70571,                0.42452,                 1.1098,                0.91267,                0.88282,                0.93239,                0.70399,                0.95764,                0.47257,                 1.3393,             0.00032282,             0.00032282,             0.00032282
                     75,                 0.6914,                0.41679,                    1.1,                0.91129,                0.88818,                0.93548,                0.70218,                0.95706,                0.46027,                  1.343,             0.00029953,             0.00029953,             0.00029953
                     76,                0.63656,                0.31577,                 1.0677,                 0.9016,                0.89643,                0.93642,                0.70338,                0.94831,                0.45735,                 1.3329,             0.00027624,             0.00027624,             0.00027624
                     77,                0.61919,                0.30332,                 1.0555,                0.91316,                0.88737,                0.93765,                0.70385,                0.94638,                0.46245,                 1.3348,             0.00025294,             0.00025294,             0.00025294
                     78,                0.60692,                0.29745,                 1.0522,                0.92619,                0.87086,                0.93212,                0.70535,                0.93909,                0.46158,                 1.3357,             0.00022965,             0.00022965,             0.00022965
                     79,                0.59472,                0.29155,                 1.0426,                0.90929,                0.87806,                0.93175,                0.70525,                0.94379,                0.47486,                 1.3451,             0.00020635,             0.00020635,             0.00020635
                     80,                  0.586,                0.28735,                 1.0318,                0.93318,                0.85796,                0.93034,                0.70571,                0.94805,                0.47201,                 1.3528,             0.00018306,             0.00018306,             0.00018306
                     81,                 0.5732,                0.28091,                 1.0247,                0.91882,                0.87557,                0.93128,                 0.7056,                0.94949,                0.47097,                  1.356,             0.00015976,             0.00015976,             0.00015976
                     82,                0.57737,                0.27925,                 1.0275,                0.92181,                0.87184,                0.93093,                0.70757,                0.94651,                 0.4708,                 1.3585,             0.00013647,             0.00013647,             0.00013647
                     83,                0.56414,                0.27416,                 1.0237,                0.91521,                  0.876,                0.92913,                0.70571,                0.95014,                0.47294,                  1.363,             0.00011318,             0.00011318,             0.00011318
                     84,                0.55663,                0.26933,                 1.0138,                0.91919,                0.87258,                0.92733,                 0.7077,                0.94795,                0.47694,                 1.3623,             8.9882e-05,             8.9882e-05,             8.9882e-05
                     85,                0.55184,                0.26733,                  1.017,                0.92073,                0.87216,                0.92744,                0.70625,                0.94584,                0.47317,                 1.3644,             6.6588e-05,             6.6588e-05,             6.6588e-05
